userId,courseId,title,proficiency_level,updated_year,updated_month,updated_day
1,2,Mastering Java Swing for Desktop Applications,Beginner,2024,1,20
1,6,C++ for Game Development,Intermediate,2024,1,23
1,10,JavaScript Fundamentals,Intermediate,2024,7,19
1,14,Python for Data Analysis,Beginner,2024,1,9
1,15,DevOps Fundamentals: Continuous Integration & Delivery,Intermediate,2024,1,16
1,19,Snowflake Essentials: Data Warehousing,Intermediate,2024,1,26
1,27,Cybersecurity Essentials for IT Professionals,Advanced,2024,1,4
1,30,Building a Diverse Workplace Culture,Intermediate,2024,1,4
2,1,Java Programming Essentials,Beginner,2020,4,18
2,1,Java Programming Essentials,Beginner,2020,4,25
2,1,Java Programming Essentials,Beginner,2020,5,10
2,5,Advanced C# Techniques,Advanced,2021,3,8
2,9,HTML & CSS: The Complete Guide,Intermediate,2020,3,16
2,12,Next.js: Server-Side Rendering Made Easy,Intermediate,2022,1,9
2,13,TypeScript for Large Applications,Intermediate,2020,7,20
2,18,DBT: Transforming Data in the Warehouse,Beginner,2024,5,9
2,29,Talent Management Strategies in the Digital Age,Beginner,2022,8,13
3,1,Java Programming Essentials,Beginner,2020,4,18
3,5,Advanced C# Techniques,Advanced,2021,3,6
3,8,Building Web Applications with Django,Beginner,2024,10,4
3,9,HTML & CSS: The Complete Guide,Intermediate,2020,3,27
3,12,Next.js: Server-Side Rendering Made Easy,Intermediate,2021,12,23
3,17,Data Analysis Techniques for Business Insights,Beginner,2020,3,6
3,20,Azure Cloud Fundamentals,Beginner,2021,12,29
3,20,Azure Cloud Fundamentals,Beginner,2021,12,28
3,22,Data Structures and Algorithms in Java,Beginner,2022,8,12
3,24,HR Analytics: Leveraging Data for HR Decisions,Beginner,2023,7,12
3,25,IT Project Management Fundamentals,Advanced,2023,2,7
3,26,Agile Methodologies for HR and IT,Advanced,2023,11,23
4,6,C++ for Game Development,Intermediate,2024,1,10
4,9,HTML & CSS: The Complete Guide,Intermediate,2020,10,1
4,12,Next.js: Server-Side Rendering Made Easy,Intermediate,2021,12,8
4,21,Power BI for Data Visualization,Advanced,2021,3,25
4,28,Effective Communication in HR,Advanced,2024,1,2
5,4,C Programming for Beginners,Beginner,2021,10,21
5,5,Advanced C# Techniques,Advanced,2021,4,13
5,9,HTML & CSS: The Complete Guide,Intermediate,2020,3,16
5,9,HTML & CSS: The Complete Guide,Intermediate,2020,4,18
5,12,Next.js: Server-Side Rendering Made Easy,Intermediate,2021,12,8
5,12,Next.js: Server-Side Rendering Made Easy,Intermediate,2022,1,13
5,17,Data Analysis Techniques for Business Insights,Beginner,2020,5,2
5,23,Cloud Security: Best Practices for IT,Beginner,2023,9,16
5,25,IT Project Management Fundamentals,Advanced,2023,2,4
5,26,Agile Methodologies for HR and IT,Advanced,2023,11,23
5,29,Talent Management Strategies in the Digital Age,Beginner,2022,8,13
6,1,Java Programming Essentials,Beginner,2020,5,18
6,11,Node.js for Scalable Network Applications,Advanced,2023,1,11
6,12,Next.js: Server-Side Rendering Made Easy,Intermediate,2021,12,29
6,13,TypeScript for Large Applications,Intermediate,2020,7,22
7,1,Java Programming Essentials,Beginner,2020,4,18
7,1,Java Programming Essentials,Beginner,2020,5,12
7,13,TypeScript for Large Applications,Intermediate,2020,8,7
7,16,Machine Learning with Python,Intermediate,2020,7,17
7,17,Data Analysis Techniques for Business Insights,Beginner,2020,3,25
7,21,Power BI for Data Visualization,Advanced,2021,4,6
7,23,Cloud Security: Best Practices for IT,Beginner,2023,9,16
8,2,Mastering Java Swing for Desktop Applications,Beginner,2020,10,18
8,9,HTML & CSS: The Complete Guide,Intermediate,2020,10,20
8,9,HTML & CSS: The Complete Guide,Intermediate,2020,10,8
8,12,Next.js: Server-Side Rendering Made Easy,Intermediate,2022,1,1
8,15,DevOps Fundamentals: Continuous Integration & Delivery,Intermediate,2021,12,18
8,20,Azure Cloud Fundamentals,Beginner,2021,11,9
8,20,Azure Cloud Fundamentals,Beginner,2022,1,21
8,24,HR Analytics: Leveraging Data for HR Decisions,Beginner,2023,7,14
8,25,IT Project Management Fundamentals,Advanced,2023,2,1
9,1,Java Programming Essentials,Beginner,2020,4,18
9,1,Java Programming Essentials,Beginner,2020,4,29
9,3,SQL for Data Management,Advanced,2024,5,10
9,5,Advanced C# Techniques,Advanced,2021,2,28
9,9,HTML & CSS: The Complete Guide,Intermediate,2020,4,1
9,12,Next.js: Server-Side Rendering Made Easy,Intermediate,2021,12,8
9,12,Next.js: Server-Side Rendering Made Easy,Intermediate,2021,12,29
9,15,DevOps Fundamentals: Continuous Integration & Delivery,Intermediate,2021,12,18
9,20,Azure Cloud Fundamentals,Beginner,2021,12,14
9,24,HR Analytics: Leveraging Data for HR Decisions,Beginner,2023,7,17
9,27,Cybersecurity Essentials for IT Professionals,Advanced,2021,1,11
10,2,Mastering Java Swing for Desktop Applications,Beginner,2021,6,30
10,2,Mastering Java Swing for Desktop Applications,Beginner,2021,7,10
10,16,Machine Learning with Python,Intermediate,2021,6,26
10,16,Machine Learning with Python,Intermediate,2021,6,24
11,18,DBT: Transforming Data in the Warehouse,Beginner,2024,4,24
11,18,DBT: Transforming Data in the Warehouse,Beginner,2024,5,6
11,24,HR Analytics: Leveraging Data for HR Decisions,Beginner,2023,7,15
11,30,Building a Diverse Workplace Culture,Intermediate,2021,2,13
11,30,Building a Diverse Workplace Culture,Intermediate,2021,3,4
12,8,Building Web Applications with Django,Beginner,2024,10,29
12,11,Node.js for Scalable Network Applications,Advanced,2024,1,26
12,20,Azure Cloud Fundamentals,Beginner,2024,2,16
12,28,Effective Communication in HR,Advanced,2024,2,12
13,1,Java Programming Essentials,Beginner,2021,1,9
13,8,Building Web Applications with Django,Beginner,2024,10,14
13,9,HTML & CSS: The Complete Guide,Intermediate,2021,1,10
13,12,Next.js: Server-Side Rendering Made Easy,Intermediate,2021,12,15
13,13,TypeScript for Large Applications,Intermediate,2021,1,12
13,14,Python for Data Analysis,Beginner,2022,4,14
13,16,Machine Learning with Python,Intermediate,2020,12,26
13,18,DBT: Transforming Data in the Warehouse,Beginner,2024,4,24
13,24,HR Analytics: Leveraging Data for HR Decisions,Beginner,2023,7,20
13,25,IT Project Management Fundamentals,Advanced,2023,1,23
14,7,Go: A Comprehensive Guide,Advanced,2022,8,27
14,7,Go: A Comprehensive Guide,Advanced,2022,9,29
14,9,HTML & CSS: The Complete Guide,Intermediate,2020,3,16
14,9,HTML & CSS: The Complete Guide,Intermediate,2020,3,20
14,10,JavaScript Fundamentals,Intermediate,2024,7,25
14,15,DevOps Fundamentals: Continuous Integration & Delivery,Intermediate,2021,12,18
14,19,Snowflake Essentials: Data Warehousing,Intermediate,2022,11,18
14,23,Cloud Security: Best Practices for IT,Beginner,2023,9,24
14,25,IT Project Management Fundamentals,Advanced,2023,2,2
14,28,Effective Communication in HR,Advanced,2024,1,2
15,5,Advanced C# Techniques,Advanced,2021,3,10
15,10,JavaScript Fundamentals,Intermediate,2024,7,10
15,17,Data Analysis Techniques for Business Insights,Beginner,2020,3,6
15,22,Data Structures and Algorithms in Java,Beginner,2022,8,31
15,24,HR Analytics: Leveraging Data for HR Decisions,Beginner,2023,9,6
15,26,Agile Methodologies for HR and IT,Advanced,2023,11,29
15,28,Effective Communication in HR,Advanced,2024,1,4
16,1,Java Programming Essentials,Beginner,2022,11,16
16,1,Java Programming Essentials,Beginner,2022,12,5
16,2,Mastering Java Swing for Desktop Applications,Beginner,2022,12,2
16,14,Python for Data Analysis,Beginner,2022,12,9
16,15,DevOps Fundamentals: Continuous Integration & Delivery,Intermediate,2022,12,4
16,16,Machine Learning with Python,Intermediate,2022,11,24
16,18,DBT: Transforming Data in the Warehouse,Beginner,2024,4,24
16,27,Cybersecurity Essentials for IT Professionals,Advanced,2022,11,18
16,28,Effective Communication in HR,Advanced,2024,1,3
16,30,Building a Diverse Workplace Culture,Intermediate,2022,11,26
17,2,Mastering Java Swing for Desktop Applications,Beginner,2020,9,12
17,3,SQL for Data Management,Advanced,2024,5,10
17,5,Advanced C# Techniques,Advanced,2021,2,24
17,5,Advanced C# Techniques,Advanced,2021,3,6
17,5,Advanced C# Techniques,Advanced,2021,2,26
17,9,HTML & CSS: The Complete Guide,Intermediate,2020,4,1
17,14,Python for Data Analysis,Beginner,2022,4,30
17,26,Agile Methodologies for HR and IT,Advanced,2023,11,26
18,1,Java Programming Essentials,Beginner,2022,9,4
18,5,Advanced C# Techniques,Advanced,2022,9,12
18,12,Next.js: Server-Side Rendering Made Easy,Intermediate,2022,9,30
18,17,Data Analysis Techniques for Business Insights,Beginner,2022,9,2
18,18,DBT: Transforming Data in the Warehouse,Beginner,2024,4,24
18,26,Agile Methodologies for HR and IT,Advanced,2023,12,17
