userId,skillId,name,Proficiency_level
1,15,Python,Intermediate
1,27,Agile Methodologies,Beginner
1,19,DBT,Intermediate
2,10,CSS,Intermediate
2,32,Conflict Resolution,Intermediate
3,7,Go,Intermediate
3,26,Networking Fundamentals,Beginner
4,24,Cloud Computing,Intermediate
4,20,Snowflake,Advanced
5,22,PowerBI,Beginner
5,17,Machine Learning,Advanced
5,31,HR Information Systems (HRIS),Intermediate
5,2,Java Swing,Intermediate
6,7,Go,Intermediate
6,10,CSS,Advanced
6,11,JavaScript,Intermediate
6,2,Java Swing,Intermediate
6,27,Agile Methodologies,Beginner
7,2,Java Swing,Intermediate
7,19,DBT,Beginner
7,27,Agile Methodologies,Intermediate
7,25,Cybersecurity,Beginner
8,32,Conflict Resolution,Advanced
8,30,Recruitment and Selection,Advanced
8,31,HR Information Systems (HRIS),Intermediate
8,21,Azure,Beginner
8,27,Agile Methodologies,Advanced
9,8,Django,Intermediate
9,17,Machine Learning,Intermediate
9,7,Go,Beginner
9,3,SQL,Beginner
9,31,HR Information Systems (HRIS),Advanced
10,11,JavaScript,Advanced
10,6,C++,Beginner
10,25,Cybersecurity,Intermediate
10,20,Snowflake,Beginner
10,28,Employee Relations,Intermediate
11,4,C,Beginner
11,27,Agile Methodologies,Beginner
11,19,DBT,Advanced
11,30,Recruitment and Selection,Beginner
12,1,Java,Advanced
12,6,C++,Intermediate
12,17,Machine Learning,Beginner
13,4,C,Beginner
13,10,CSS,Beginner
13,7,Go,Intermediate
13,30,Recruitment and Selection,Intermediate
13,19,DBT,Beginner
14,22,PowerBI,Advanced
14,29,Performance Management,Advanced
14,18,Data Analysis,Intermediate
15,13,Next.js,Intermediate
15,32,Conflict Resolution,Intermediate
15,24,Cloud Computing,Beginner
15,12,Node.js,Beginner
15,7,Go,Intermediate
16,8,Django,Advanced
16,31,HR Information Systems (HRIS),Intermediate
16,14,TypeScript,Intermediate
16,12,Node.js,Beginner
16,24,Cloud Computing,Advanced
17,7,Go,Advanced
17,9,HTML,Beginner
17,21,Azure,Beginner
17,31,HR Information Systems (HRIS),Beginner
18,6,C++,Intermediate
18,9,HTML,Intermediate
19,2,Java Swing,Intermediate
19,9,HTML,Intermediate
19,25,Cybersecurity,Intermediate
20,28,Employee Relations,Advanced
21,10,CSS,Beginner
21,1,Java,Beginner
21,25,Cybersecurity,Advanced
21,30,Recruitment and Selection,Beginner
21,2,Java Swing,Advanced
22,31,HR Information Systems (HRIS),Intermediate
22,2,Java Swing,Advanced
22,14,TypeScript,Advanced
23,10,CSS,Advanced
24,14,TypeScript,Advanced
24,15,Python,Advanced
25,5,C#,Advanced
26,5,C#,Beginner
27,29,Performance Management,Advanced
27,8,Django,Beginner
27,11,JavaScript,Advanced
27,5,C#,Beginner
28,20,Snowflake,Advanced
28,28,Employee Relations,Advanced
28,11,JavaScript,Advanced
29,9,HTML,Beginner
29,4,C,Beginner
29,22,PowerBI,Advanced
29,1,Java,Intermediate
30,9,HTML,Advanced
31,25,Cybersecurity,Beginner
31,3,SQL,Beginner
31,2,Java Swing,Advanced
31,28,Employee Relations,Intermediate
32,25,Cybersecurity,Beginner
33,9,HTML,Advanced
34,22,PowerBI,Advanced
34,9,HTML,Intermediate
34,5,C#,Beginner
34,2,Java Swing,Beginner
34,23,Data Structures,Intermediate
35,21,Azure,Beginner
35,26,Networking Fundamentals,Advanced
36,25,Cybersecurity,Intermediate
36,1,Java,Advanced
36,9,HTML,Intermediate
37,6,C++,Intermediate
37,10,CSS,Intermediate
37,2,Java Swing,Beginner
37,14,TypeScript,Advanced
37,18,Data Analysis,Intermediate
38,28,Employee Relations,Advanced
38,24,Cloud Computing,Beginner
39,8,Django,Beginner
39,11,JavaScript,Advanced
40,10,CSS,Beginner
40,8,Django,Advanced
