id,courseId,userId,updatedAt,chapters_completed,percentage_completed,certificate
1,1,1,2020-11-26 13:56:58,0,0.0,
2,2,1,2021-10-09 16:48:40,0,0.0,
3,3,1,2020-03-07 18:05:38,0,0.0,
4,4,1,2021-11-18 21:42:27,0,0.0,
5,5,1,2021-01-08 22:43:58,0,0.0,
6,6,1,2023-04-14 13:11:12,0,0.0,
7,7,1,2023-01-30 13:46:36,0,0.0,
8,8,1,2020-11-14 08:05:45,0,0.0,
9,9,1,2021-02-21 07:21:28,0,0.0,
10,10,1,2023-03-13 20:00:45,0,0.0,
11,11,1,2020-08-24 15:06:37,0,0.0,
12,12,1,2024-09-29 21:21:53,0,0.0,
13,13,1,2020-05-07 04:09:11,0,0.0,
14,14,1,2020-09-16 15:55:09,0,0.0,
15,15,1,2023-12-16 08:08:45,0,0.0,
16,16,1,2021-04-24 01:38:32,0,0.0,
17,17,1,2021-12-06 11:02:39,0,0.0,
18,18,1,2023-07-26 23:10:36,0,0.0,
19,19,1,2021-06-26 15:16:59,0,0.0,
20,20,1,2024-07-26 02:42:01,0,0.0,
21,21,1,2021-11-09 03:41:03,0,0.0,
22,22,1,2024-07-06 04:53:15,0,0.0,
23,23,1,2022-09-16 20:12:39,0,0.0,
24,24,1,2022-05-25 03:17:25,0,0.0,
25,25,1,2023-11-25 11:49:18,0,0.0,
26,26,1,2020-06-21 14:35:42,0,0.0,
27,27,1,2023-01-13 15:47:38,0,0.0,
28,28,1,2020-12-28 04:51:17,0,0.0,
29,29,1,2024-04-22 16:46:51,0,0.0,
30,30,1,2023-12-24 22:19:27,0,0.0,
31,1,2,2020-11-26 13:56:58,0,0.0,
32,2,2,2021-10-09 16:48:40,0,0.0,
33,3,2,2020-03-07 18:05:38,0,0.0,
34,4,2,2021-11-18 21:42:27,0,0.0,
35,5,2,2021-01-08 22:43:58,0,0.0,
36,6,2,2023-04-14 13:11:12,0,0.0,
37,7,2,2023-01-30 13:46:36,0,0.0,
38,8,2,2020-11-14 08:05:45,0,0.0,
39,9,2,2021-02-21 07:21:28,0,0.0,
40,10,2,2023-03-13 20:00:45,0,0.0,
41,11,2,2020-08-24 15:06:37,0,0.0,
42,12,2,2024-09-29 21:21:53,0,0.0,
43,13,2,2020-05-07 04:09:11,0,0.0,
44,14,2,2020-09-16 15:55:09,0,0.0,
45,15,2,2023-12-16 08:08:45,0,0.0,
46,16,2,2021-04-24 01:38:32,0,0.0,
47,17,2,2021-12-06 11:02:39,0,0.0,
48,18,2,2023-07-26 23:10:36,0,0.0,
49,19,2,2021-06-26 15:16:59,0,0.0,
50,20,2,2024-07-26 02:42:01,0,0.0,
51,21,2,2021-11-09 03:41:03,0,0.0,
52,22,2,2024-07-06 04:53:15,0,0.0,
53,23,2,2022-09-16 20:12:39,0,0.0,
54,24,2,2022-05-25 03:17:25,0,0.0,
55,25,2,2023-11-25 11:49:18,0,0.0,
56,26,2,2020-06-21 14:35:42,0,0.0,
57,27,2,2023-01-13 15:47:38,0,0.0,
58,28,2,2020-12-28 04:51:17,0,0.0,
59,29,2,2024-04-22 16:46:51,0,0.0,
60,30,2,2023-12-24 22:19:27,0,0.0,
61,1,3,2020-11-26 13:56:58,0,0.0,
62,2,3,2021-10-09 16:48:40,0,0.0,
63,3,3,2020-03-07 18:05:38,0,0.0,
64,4,3,2021-11-18 21:42:27,0,0.0,
65,5,3,2021-01-08 22:43:58,0,0.0,
66,6,3,2023-04-14 13:11:12,0,0.0,
67,7,3,2023-01-30 13:46:36,0,0.0,
68,8,3,2020-11-14 08:05:45,0,0.0,
69,9,3,2021-02-21 07:21:28,0,0.0,
70,10,3,2023-03-13 20:00:45,0,0.0,
71,11,3,2020-08-24 15:06:37,0,0.0,
72,12,3,2024-09-29 21:21:53,0,0.0,
73,13,3,2020-05-07 04:09:11,0,0.0,
74,14,3,2020-09-16 15:55:09,0,0.0,
75,15,3,2023-12-16 08:08:45,0,0.0,
76,16,3,2021-04-24 01:38:32,0,0.0,
77,17,3,2021-12-06 11:02:39,0,0.0,
78,18,3,2023-07-26 23:10:36,0,0.0,
79,19,3,2021-06-26 15:16:59,0,0.0,
80,20,3,2024-07-26 02:42:01,0,0.0,
81,21,3,2021-11-09 03:41:03,0,0.0,
82,22,3,2024-07-06 04:53:15,0,0.0,
83,23,3,2022-09-16 20:12:39,0,0.0,
84,24,3,2022-05-25 03:17:25,0,0.0,
85,25,3,2023-11-25 11:49:18,0,0.0,
86,26,3,2020-06-21 14:35:42,0,0.0,
87,27,3,2023-01-13 15:47:38,0,0.0,
88,28,3,2020-12-28 04:51:17,0,0.0,
89,29,3,2024-04-22 16:46:51,0,0.0,
90,30,3,2023-12-24 22:19:27,0,0.0,
91,1,4,2020-11-26 13:56:58,0,0.0,
92,2,4,2021-10-09 16:48:40,0,0.0,
93,3,4,2020-03-07 18:05:38,0,0.0,
94,4,4,2021-11-18 21:42:27,0,0.0,
95,5,4,2021-01-08 22:43:58,0,0.0,
96,6,4,2023-04-14 13:11:12,0,0.0,
97,7,4,2023-01-30 13:46:36,0,0.0,
98,8,4,2020-11-14 08:05:45,0,0.0,
99,9,4,2021-02-21 07:21:28,0,0.0,
100,10,4,2023-03-13 20:00:45,0,0.0,
101,11,4,2020-08-24 15:06:37,0,0.0,
102,12,4,2024-09-29 21:21:53,0,0.0,
103,13,4,2020-05-07 04:09:11,0,0.0,
104,14,4,2020-09-16 15:55:09,0,0.0,
105,15,4,2023-12-16 08:08:45,0,0.0,
106,16,4,2021-04-24 01:38:32,0,0.0,
107,17,4,2021-12-06 11:02:39,0,0.0,
108,18,4,2023-07-26 23:10:36,0,0.0,
109,19,4,2021-06-26 15:16:59,0,0.0,
110,20,4,2024-07-26 02:42:01,0,0.0,
111,21,4,2021-11-09 03:41:03,0,0.0,
112,22,4,2024-07-06 04:53:15,0,0.0,
113,23,4,2022-09-16 20:12:39,0,0.0,
114,24,4,2022-05-25 03:17:25,0,0.0,
115,25,4,2023-11-25 11:49:18,0,0.0,
116,26,4,2020-06-21 14:35:42,0,0.0,
117,27,4,2023-01-13 15:47:38,0,0.0,
118,28,4,2020-12-28 04:51:17,0,0.0,
119,29,4,2024-04-22 16:46:51,0,0.0,
120,30,4,2023-12-24 22:19:27,0,0.0,
121,1,5,2020-11-26 13:56:58,0,0.0,
122,2,5,2021-10-09 16:48:40,0,0.0,
123,3,5,2020-03-07 18:05:38,0,0.0,
124,4,5,2021-11-18 21:42:27,0,0.0,
125,5,5,2021-01-08 22:43:58,0,0.0,
126,6,5,2023-04-14 13:11:12,0,0.0,
127,7,5,2023-01-30 13:46:36,0,0.0,
128,8,5,2020-11-14 08:05:45,0,0.0,
129,9,5,2021-02-21 07:21:28,0,0.0,
130,10,5,2023-03-13 20:00:45,0,0.0,
131,11,5,2020-08-24 15:06:37,0,0.0,
132,12,5,2024-09-29 21:21:53,0,0.0,
133,13,5,2020-05-07 04:09:11,0,0.0,
134,14,5,2020-09-16 15:55:09,0,0.0,
135,15,5,2023-12-16 08:08:45,0,0.0,
136,16,5,2021-04-24 01:38:32,0,0.0,
137,17,5,2021-12-06 11:02:39,0,0.0,
138,18,5,2023-07-26 23:10:36,0,0.0,
139,19,5,2021-06-26 15:16:59,0,0.0,
140,20,5,2024-07-26 02:42:01,0,0.0,
141,21,5,2021-11-09 03:41:03,0,0.0,
142,22,5,2024-07-06 04:53:15,0,0.0,
143,23,5,2022-09-16 20:12:39,0,0.0,
144,24,5,2022-05-25 03:17:25,0,0.0,
145,25,5,2023-11-25 11:49:18,0,0.0,
146,26,5,2020-06-21 14:35:42,0,0.0,
147,27,5,2023-01-13 15:47:38,0,0.0,
148,28,5,2020-12-28 04:51:17,0,0.0,
149,29,5,2024-04-22 16:46:51,0,0.0,
150,30,5,2023-12-24 22:19:27,0,0.0,
151,1,6,2020-11-26 13:56:58,0,0.0,
152,2,6,2021-10-09 16:48:40,0,0.0,
153,3,6,2020-03-07 18:05:38,0,0.0,
154,4,6,2021-11-18 21:42:27,0,0.0,
155,5,6,2021-01-08 22:43:58,0,0.0,
156,6,6,2023-04-14 13:11:12,0,0.0,
157,7,6,2023-01-30 13:46:36,0,0.0,
158,8,6,2020-11-14 08:05:45,0,0.0,
159,9,6,2021-02-21 07:21:28,0,0.0,
160,10,6,2023-03-13 20:00:45,0,0.0,
161,11,6,2020-08-24 15:06:37,0,0.0,
162,12,6,2024-09-29 21:21:53,0,0.0,
